"apartment_name","apartment_url","apartment_price","apartment_image_image","apartment_image_url","apartment_description","apartment_details_name"
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00000_lOLbjeHsMC4z_0ak06J_50x50c.jpg","https://images.craigslist.org/00000_lOLbjeHsMC4z_0ak06J_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00606_5RBkSrSZbTqz_0ao06W_50x50c.jpg","https://images.craigslist.org/00606_5RBkSrSZbTqz_0ao06W_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00O0O_izHnf8GkXJjz_0yQ0ne_50x50c.jpg","https://images.craigslist.org/00O0O_izHnf8GkXJjz_0yQ0ne_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/01414_3Ie0FXOKoS2z_0jm0dM_50x50c.jpg","https://images.craigslist.org/01414_3Ie0FXOKoS2z_0jm0dM_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00A0A_iV2GGlJqvDdz_0jm0dK_50x50c.jpg","https://images.craigslist.org/00A0A_iV2GGlJqvDdz_0jm0dK_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00X0X_lsQT9M6KvY6z_0ew09G_50x50c.jpg","https://images.craigslist.org/00X0X_lsQT9M6KvY6z_0ew09G_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/01616_b857ovf422Jz_0gw0b1_50x50c.jpg","https://images.craigslist.org/01616_b857ovf422Jz_0gw0b1_600x450.jpg","-''-",""
"","","","","","","1BR / 1Ba"
"","","","","","","67m2"
"","","","","","","available may 22"
"","","","","","","flooring: wood"
"","","","","","","furnished"
"","","","","","","apartment"
"","","","","","","laundry on site"
"","","","","","","street parking"
"","","","","","","rent payment period: monthly"
