,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Krom Boomssloot 59 E


                       ", 1011 GS ,25 ,3,"6,200"
0,"Apartment Leiduinstraat


                       ", 1058 SK ,44 ,2,"3,000"
0,"Apartment Slangenburg 40


                       ", 1082 JW ,05 ,3,"3,500"
0,"Apartment Recht Boomssloot 87 III


                       ", 1011 CX ,60 ,2,"2,150"
0,"Apartment Sint Jansstraat 52 1


                       ", 1012 HG ,45 ,2,"2,300"
0,"Apartment Kostverlorenstraat 13 1


                       ", 1052 GS ,48 ,3,"2,800"
0,"Apartment Rupelmonde


                       ", 1081 GP ,73 ,3,"3,000"
0,"Apartment Nicolaas Anslijnstraat 75


                       ", 1068 WR ,82 ,3,"1,950"
0,"Apartment Amstel


                       ", 1011 PT ,69 ,3,"4,350"
0,"Apartment Keizersgracht 341 A2


                       ", 1016 EH ,75 ,3,"4,450"
0,"Apartment Van Breestraat 78 H


                       ", 1071 ZS ,23 ,6,"0,200"
0,"Apartment Van Helt Stocadestraat 18 1


                       ", 1073 JC ,68 ,3,"4,500"
0,"Apartment Overtoom


                       ", 1054 LN ,63 ,2,"3,150"
0,"Apartment Overtoom 468 I


                       ", 1054 JX ,70 ,3,"3,500"
0,"Apartment Kinkerstraat 386 2


                       ", 1053 GJ ,40 ,2,"2,300"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Balthasar Floriszstraat


                       ", 1071 VD ,60 ,2,"3,500"
0,"Apartment Van Kinsbergenstraat 17 3


                       ", 1057 PJ ,41 ,2,"2,300"
0,"Apartment Nieuw Herlaer


                       ", 1083 BB ,25 ,4,"4,450"
0,"Apartment Maassluisstraat


                       ", 1062 GS ,40 ,1,"2,300"
0,"Apartment Kerkstraat


                       ", 1017 GM ,70 ,2,"2,500"
0,"Apartment Overhoeksparklaan 234


                       ", 1031 KC ,98 ,3,"3,500"
0,"Apartment Raamgracht 27 hs


                       ", 1011 KJ ,71 ,3,"4,500"
0,"Apartment Reinier Claeszenstraat


                       ", 1056 WR ,54 ,3,"2,800"
0,"Apartment Schippersstraat


                       ", 1011 AZ ,50 ,3,"2,150"
0,"Apartment Hobbemakade 29 3


                       ", 1071 XK ,82 ,2,"3,500"
0,"Apartment Termini 299


                       ", 1025 XM ,74 ,3,"2,350"
0,"Apartment Legmeerstraat 87 I


                       ", 1058 NC ,49 ,2,"2,500"
0,"Apartment Lekstraat


                       ", 1079 GA ,00 ,4,"2,000"
0,, 1013 GX ,59 ,2,"2,200"
0,"Apartment Tweede Egelantiersdwarsstraat


                       ", 1015 SC ,30 ,2,"2,350"
0,"Apartment Gerard Brandtstraat


                       ", 1054 JJ ,56 ,2,"3,500"
0,"Apartment Memeleiland


                       ", 1014 ZL ,88 ,3,"4,450"
0,"Apartment Keizersgracht 492 B


                       ", 1017 EH ,10 ,3,"5,100"
0,"Apartment Postjesweg 441


                       ", 1062 JV ,80 ,4,"2,800"
0,"Apartment Westerkade


                       ", 1015 XD ,30 ,2,"2,500"
0,"Apartment Amstelkade


                       ", 1078 AC ,61 ,3,"3,500"
0,"Apartment Nassaukade 118 2


                       ", 1052 EB ,82 ,3,"2,500"
0,"Apartment IJdoornlaan 251 A1


                       ", 1024 KM ,20 ,3,"2,000"
0,"Apartment Reguliersgracht 46 H


                       ", 1017 LS ,72 ,3,"3,050"
0,"Apartment Van Oldenbarneveldtstraat 41 3


                       ", 1052 JS ,62 ,3,"3,500"
0,"Apartment Bos en Lommerplantsoen


                       ", 1055 AA ,29 ,1,€1550
0,"Apartment Van Tuyll van Serooskerkenplein 43 hs


                       ", 1076 LZ ,65 ,3,"3,600"
0,"Apartment Doggersbankstraat 26 I


                       ", 1055 PA ,50 ,3,"2,500"
0,"Apartment Korte Schimmelstraat 5


                       ", 1053 SZ ,80 ,3,"3,150"
0,"Apartment Groenburgwal 47 3


                       ", 1011 HS ,40 ,2,"2,200"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Van Ostadestraat 29 II


                       ", 1072 SM ,36 ,2,"2,500"
0,"Apartment Spaklerweg 14 E15


                       ", 1096 BA ,32 ,1,€1750
0,"Apartment Korsjespoortsteeg 18 1


                       ", 1015 AR ,85 ,2,"2,950"
0,"Apartment Mercuriusplein 1 B


                       ", 1033 AZ ,10 ,4,"4,000"
0,"Apartment Admiraal De Ruijterweg


                       ", 1055 MJ ,40 ,4,"3,150"
0,"Apartment Nieuwe Prinsengracht


                       ", 1018 VR ,70 ,3,"3,500"
0,"Apartment Legmeerplein


                       ", 1058 NL ,60 ,2,"2,000"
0,"Apartment Haarlemmermeerstraat


                       ", 1058 KK ,64 ,3,"3,000"
0,"Apartment Emmy Andriessestraat


                       ", 1087 NE ,26 ,4,"2,100"
0,"Apartment Vijzelstraat 83 1


                       ", 1017 HG ,43 ,1,"2,500"
0,"Apartment Ferguutstraat


                       ", 1055 SV ,53 ,3,"1,950"
0,"Apartment Simon Stevinstraat 3 1



                       ", 1097 BW ,58 ,3,"3,000"
0,"Apartment Kinkerstraat


                       ", 1053 DG ,32 ,1,"1,300"
0,, 1052 SH ,33 ,2,"2,500"
0,"Apartment Faas Wilkesstraat


                       ", 1095 MD ,49 ,2,"2,000"
0,, 1081 KB ,24 ,5,"4,000"
0,"Apartment Javastraat 39 I


                       ", 1094 GZ ,60 ,3,"3,000"
0,"Apartment Achtergracht 11 II


                       ", 1017 WL ,55 ,1,"2,500"
0,"Apartment Hoofdweg 423 hs


                       ", 1056 CV ,06 ,4,"3,500"
0,"Apartment Lange Niezel


                       ", 1012 GS ,47 ,3,"2,000"
0,"Apartment Govert Flinckstraat 104 A


                       ", 1072 EL ,45 ,2,"2,150"
0,"Apartment Hugo de Grootkade 4 1


                       ", 1052 LP ,52 ,2,"2,000"
0,"Apartment Lavaspad


                       ", 1032 VB ,70 ,3,"3,500"
0,, 1059 EB ,67 ,2,"2,150"
0,"Apartment Marnixstraat 285 F


                       ", 1015 WL ,99 ,4,"3,650"
0,"Apartment Loosduinenstraat


                       ", 1062 EG ,05 ,3,"2,500"
0,"Apartment Pieter Baststraat


                       ", 1071 TV ,73 ,3,"2,500"
0,"Apartment Agamemnonstraat


                       ", 1076 LT ,50 ,3,"2,500"
0,"Apartment Anna Blamansingel


                       ", 1102 ST ,02 ,3,"2,000"
0,"Apartment Fokkezeil


                       ", 1034 MV ,71 ,3,"1,700"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
0,"Apartment Brouwersgracht 248 C


                       ", 1013 HE ,78 ,2,"3,000"
0,"Apartment Kleiburg


                       ", 1104 EA ,70 ,3,€1500
0,"Apartment Lekstraat


                       ", 1079 GA ,90 ,2,"1,700"
0,"Apartment Cornelis Schuytstraat


                       ", 1071 JH ,25 ,4,"6,000"
0,"Apartment Utrechtsedwarsstraat


                       ", 1017 WK ,01 ,3,"4,500"
0,"Apartment Boeninlaan


                       ", 1102 TJ ,75 ,3,"2,150"
0,"Apartment Doddendaal 197


                       ", 1082 XT ,61 ,3,"3,150"
0,"Apartment Elckerlijcstraat 26 2


                       ", 1055 AN ,55 ,3,"2,000"
0,"Apartment Govert Flinckstraat


                       ", 1074 CC ,10 ,3,"6,000"
0,"Apartment Narva-eiland 160


                       ", 1014 ZJ ,61 ,2,"3,000"
0,"Apartment Barcelonaplein 152


                       ", 1019 LZ ,56 ,2,"3,500"
0,"Apartment Vierwindendwarsstraat


                       ", 1013 LB ,77 ,3,"6,000"
0,"Apartment Nassaukade


                       ", 1052 CS ,80 ,3,"6,000"
0,"Apartment Voorburgstraat 203


                       ", 1062 JB ,74 ,3,"1,800"
0,"Apartment Binnen Brouwersstraat


                       ", 1013 EE ,52 ,3,"3,000"
0,"Apartment Jesse Owenshof


                       ", 1034 WT ,90 ,3,"2,500"
0,"Apartment Narva-eiland


                       ", 1014 ZJ ,53 ,6,"4,500"
0,"Apartment Ohmstraat 10 3


                       ", 1098 ST ,73 ,2,"2,150"
0,"Apartment Minervaplein


                       ", 1077 TK ,15 ,4,"5,500"
0,"Apartment Bilderdijkstraat


                       ", 1053 KM ,69 ,3,"3,150"
0,"Apartment Marnixstraat 224 B


                       ", 1016 TL ,65 ,3,"3,000"
0,"Apartment Overschiestraat 170 C5


                       ", 1062 XK ,74 ,3,"1,800"
0,"Apartment Voorburgstraat 205


                       ", 1062 JB ,74 ,3,"1,800"
0,"Apartment Overschiestraat 170 C4


                       ", 1062 XK ,74 ,3,"1,800"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Olympiaweg 68 III


                       ", 1076 XC ,42 ,2,"3,500"
0,"Apartment Anna Blamansingel


                       ", 1102 SX ,06 ,4,"2,500"
0,"Apartment Mensinge


                       ", 1083 HG ,10 ,2,"5,000"
0,"Apartment IJdoornlaan 251 D1


                       ", 1024 KM ,85 ,3,"2,050"
0,"Apartment Ceintuurbaan


                       ", 1073 EJ ,66 ,4,"7,000"
0,"Apartment Het Breed 747


                       ", 1025 JB ,64 ,2,"2,350"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Ceintuurbaan


                       ", 1074 EB ,60 ,2,"2,800"
0,"Apartment Eerste Jan Steenstraat


                       ", 1072 NR ,70 ,2,"2,500"
0,"Apartment Willemsparkweg


                       ", 1071 HB ,75 ,2,"3,500"
0,"Apartment Onstein


                       ", 1082 KM ,80 ,2,"1,700"
0,"Apartment Willem de Zwijgerlaan


                       ", 1055 RD ,35 ,1,"2,500"
0,"Apartment Overtoom


                       ", 1054 LK ,20 ,3,"2,950"
0,"Apartment Fokke Simonszstraat


                       ", 1017 TE ,73 ,2,"3,650"
0,"Apartment Rhijnvis Feithstraat


                       ", 1054 TZ ,60 ,3,"3,500"
0,"Apartment Valeriusplein


                       ", 1075 BG ,80 ,3,"3,150"
0,"Apartment Nieuwe Kerkstraat 115 III


                       ", 1018 VJ ,65 ,2,"2,300"
0,"Apartment Stadhouderskade 88 F


                       ", 1073 AV ,32 ,2,"2,500"
0,"Apartment Stadionkade 27 II+IV


                       ", 1077 VM ,60 ,8,"4,500"
0,"Apartment Maarten Harpertszoon Trompstraat 12 H


                       ", 1056 HZ ,20 ,4,"4,450"
0,, 1066 JZ ,10 ,5,"4,450"
0,"Apartment Bilderdijkkade 38 AH



                       ", 1053 VE ,64 ,3,"3,000"
0,"Apartment Oudezijds Voorburgwal


                       ", 1012 GJ ,61 ,2,"3,500"
0,"Apartment Nassaukade 56 1


                       ", 1052 CN ,74 ,2,"3,000"
0,"Apartment Shackletonstraat 26 3


                       ", 1056 RM ,54 ,3,"2,150"
0,"Apartment Keizersgracht 153 I


                       ", 1015 CL ,80 ,2,"3,650"
0,"Apartment Galjootstraat 128


                       ", 1086 VE ,82 ,3,"1,700"
0,"Apartment Willem de Zwijgerlaan 42 II


                       ", 1056 JS ,56 ,3,"2,150"
0,"Apartment Reguliersdwarsstraat


                       ", 1017 BK ,70 ,3,"3,000"
0,"Apartment Tweede Tuindwarsstraat


                       ", 1015 RZ ,45 ,2,"2,500"
0,"Apartment Faas Wilkesstraat


                       ", 1095 MD ,77 ,3,"2,500"
0,"Apartment Kinkerstraat


                       ", 1053 EN ,45 ,2,"2,000"
0,"Apartment Haarlemmerstraat


                       ", 1013 EV ,45 ,2,"1,950"
0,"Apartment Bernissestraat


                       ", 1079 ZW ,75 ,2,"4,450"
0,"Apartment Elzenhagensingel 469


                       ", 1022 LA ,90 ,3,"2,000"
0,"Apartment Vossiusstraat


                       ", 1071 AC ,75 ,2,"2,500"
0,"Apartment Panamalaan 162


                       ", 1019 AZ ,47 ,4,"4,500"
0,"Apartment Baden Powellweg


                       ", 1069 KW ,97 ,5,"4,200"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,"Apartment Gebed Zonder End 17 A


                       ", 1012 HS ,40 ,2,"2,500"
0,"Apartment Jephtastraat 53 4


                       ", 1055 JS ,88 ,4,"3,050"
0,"Apartment Admiraal De Ruijterweg


                       ", 1056 GP ,60 ,2,"2,700"
0,"Apartment Sint Willibrordusstraat


                       ", 1074 XL ,50 ,2,"2,800"
0,"Apartment Van Boshuizenstraat


                       ", 1083 AT ,75 ,3,"3,000"
0,"Apartment Frans van Mierisstraat 24 2


                       ", 1071 RT ,60 ,2,"3,500"
0,"Apartment Vechtstraat


                       ", 1079 JW ,45 ,3,"2,300"
0,"Apartment Rapenburg


                       ", 1011 TX ,50 ,1,"2,300"
0,"Apartment Bos en Lommerplein 38



                       ", 1055 EK ,90 ,3,"2,500"
0,"Apartment Surinameplein 24 1


                       ", 1058 GP ,70 ,3,"2,000"
0,"Apartment Fagelstraat


                       ", 1052 GC ,45 ,2,"2,000"
0,"Apartment Amstelveenseweg


                       ", 1075 VT ,80 ,3,"4,500"
0,"Apartment Prinsengracht


                       ", 1015 DT ,70 ,2,"5,000"
0,"Apartment Termini 347


                       ", 1025 XM ,76 ,3,"2,000"
0,"Apartment Prinsengracht


                       ", 1015 DS ,75 ,3,"4,050"
0,"Apartment Prinsengracht


                       ", 1015 DS ,90 ,3,"4,050"
0,"Apartment Brouwersgracht 60 3


                       ", 1013 GX ,18 ,3,"3,050"
0,"Apartment Vierwindenstraat


                       ", 1013 LB ,05 ,3,"4,500"
0,"Apartment Brouwersgracht


                       ", 1013 GW ,49 ,2,"3,000"
0,"Apartment Prins Hendrikkade


                       ", 1011 TC ,17 ,2,€1850
0,"Apartment Ekingenstraat


                       ", 1069 GV ,82 ,4,"3,000"
0,"Apartment Bloemgracht


                       ", 1016 KL ,75 ,3,"5,000"
0,, 1107 BN ,00 ,4,"4,500"
0,"Apartment Burgemeester Hogguerstraat 1169


                       ", 1064 EK ,88 ,5,"5,500"
0,"Apartment Frieslandstraat 61


                       ", 1082 TL ,75 ,3,"3,500"
0,"Apartment Geldersekade 119 III


                       ", 1011 EN ,00 ,2,"4,000"
0,"Apartment Pieter Cornelisz. Hooftstraat 122 I


                       ", 1071 CD ,45 ,2,"2,300"
0,, 1075 AR ,49 ,7,"1,350"
0,, 1060 ML ,14 ,6, €850
0,"Apartment C. van Eesterenlaan


                       ", 1019 KE ,10 ,3,"3,250"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Winterjanpad


                       ", 1036 KN ,69 ,3,"1,700"
0,"Apartment Lia Doranastraat


                       ", 1031 HK ,86 ,3,"3,000"
0,"Apartment Langswater 826


                       ", 1069 EH ,70 ,3,"3,000"
0,"Apartment Rustenburgerstraat 138 A hs


                       ", 1073 GJ ,55 ,2,"3,000"
0,"Apartment Staringstraat 9 C


                       ", 1054 VM ,80 ,3,"4,000"
0,"Apartment Lijnbaansgracht 339 2


                       ", 1017 XA ,75 ,3,"3,150"
0,"Apartment Beemsterstraat 546 C10


                       ", 1024 BV ,74 ,3,"2,500"
0,"Apartment Overschiestraat 170 B31


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Overschiestraat 170 B26


                       ", 1062 XK ,12 ,4,"4,350"
0,"Apartment Overschiestraat 170 B33


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Overschiestraat 170 B28


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Ceintuurbaan 177 bv


                       ", 1073 EJ ,66 ,4,"7,000"
0,"Apartment Rosy Wertheimstraat 3


                       ", 1082 MZ ,45 ,1,"2,350"
0,"Apartment Vondelstraat


                       ", 1054 GW ,65 ,2,"3,150"
0,"Apartment Kinkerstraat 296 II


                       ", 1053 GC ,45 ,2,"2,500"
0,"Apartment Keizersgracht 376 2-A


                       ", 1016 GA ,50 ,1,"2,500"
0,"Apartment Saenredamstraat 10 3


                       ", 1072 CG ,80 ,3,"4,500"
0,, 1102 AZ ,30 ,5,"2,950"
0,, 1016 EJ ,14 ,1,"9,500"
0,"Apartment Ardennenlaan


                       ", 1066 SE ,00 ,3,"2,600"
0,"Apartment Liendenhof 135


                       ", 1108 HH ,85 ,3,"2,350"
0,"Apartment Reitzstraat 115


                       ", 1091 ZB ,45 ,2,"2,300"
0,"Apartment Reestraat 11 1


                       ", 1016 DM ,30 ,2,"2,000"
0,"Apartment Sneeuwbalstraat


                       ", 1032 GX ,85 ,4,"2,600"
0,"Apartment Joris Ivensplein 94


                       ", 1087 BP ,36 ,4,"4,300"
0,"Apartment Joris Ivensplein 22


                       ", 1087 BP ,25 ,4,"4,050"
0,"Apartment Elpermeer


                       ", 1025 AN ,85 ,3,"2,800"
0,"Apartment Beethovenstraat 63 II


                       ", 1077 HN ,80 ,3,"4,450"
0,"Apartment Gaasterlandstraat 248


                       ", 1079 RH ,65 ,2,"2,800"
0,"Apartment Albert Cuypstraat 153 C


                       ", 1073 BC ,45 ,2,"2,800"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Spuistraat 201 B


                       ", 1012 VN ,47 ,2,"2,800"
0,"Apartment Bonairestraat 55 H


                       ", 1058 XD ,51 ,3,"2,150"
0,"Apartment Bos en Lommerplantsoen


                       ", 1055 AA ,27 ,1,€2500
0,"Apartment Derkinderenstraat 180


                       ", 1061 VX ,01 ,4,"2,500"
0,"Apartment Stadhouderskade 128 I


                       ", 1074 AV ,75 ,3,"3,050"
0,"Apartment Graafschapstraat


                       ", 1079 PE ,55 ,2,"1,950"
0,"Apartment Oostenburgermiddenstraat


                       ", 1018 LL ,61 ,2,"2,800"
0,"Apartment Willem Parelstraat


                       ", 1018 KZ ,74 ,3,"3,000"
0,"Apartment Willem Parelstraat


                       ", 1018 KZ ,40 ,1,"2,500"
0,"Apartment Hunzestraat


                       ", 1079 VR ,70 ,3,"3,500"
0,, 1017 KN ,70 ,2,"3,150"
0,"Apartment Akersingel


                       ", 1060 NK ,87 ,4,"3,000"
0,"Apartment Simon Stevinstraat


                       ", 1097 CA ,58 ,3,"2,500"
0,"Apartment Herengracht


                       ", 1015 BT ,40 ,5,"2,500"
0,"Apartment Gloriantstraat 14 3


                       ", 1055 CV ,70 ,4,"5,000"
0,"Apartment Vaartstraat 34 1


                       ", 1075 RP ,45 ,2,"2,300"
0,"Apartment Prinsengracht


                       ", 1015 DT ,30 ,3,"3,650"
0,"Apartment Kastelenstraat


                       ", 1082 EE ,80 ,3,"3,000"
0,, 1017 GX ,45 ,3,"4,000"
0,"Apartment Beethovenstraat 73 B


                       ", 1077 HP ,72 ,2,"3,000"
0,"Apartment Martini van Geffenstraat 76


                       ", 1068 GL ,90 ,3,"4,000"
0,"Apartment Molenpad


                       ", 1016 GM ,47 ,2,"2,500"
0,"Apartment Laurierstraat 184 1


                       ", 1016 PS ,55 ,3,"2,800"
0,"Apartment Kees Broekmanstraat 66


                       ", 1095 MS ,90 ,3,"1,950"
0,"Apartment Cornelis Schuytstraat


                       ", 1071 JJ ,60 ,2,"3,500"
0,"Apartment Rozengracht 76 I


                       ", 1016 NE ,90 ,5,"4,500"
0,"Apartment Rombout Hogerbeetsstraat


                       ", 1052 XE ,55 ,3,"3,000"
0,"Apartment Wodanstraat


                       ", 1076 CD ,65 ,3,"3,000"
0,"Apartment Reggestraat


                       ", 1078 CZ ,56 ,3,"4,000"
0,"Apartment Korte Meerhuizenstraat


                       ", 1078 TL ,69 ,2,"3,050"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Dusartstraat 6 hs


                       ", 1072 HR ,54 ,2,"3,000"
0,"Apartment Rokin


                       ", 1012 LD ,25 ,2,"4,450"
0,"Apartment Houthavenkade 106


                       ", 1014 ZB ,46 ,2,"3,500"
0,"Apartment Simon Stevinstraat 10 1


                       ", 1097 BZ ,43 ,2,"2,350"
0,"Apartment Bloys van Treslongstraat


                       ", 1056 WV ,52 ,3,"2,000"
0,"Apartment Hoogte Kadijk


                       ", 1018 BJ ,55 ,2,"2,150"
0,"Apartment Osdorpplein


                       ", 1068 TB ,83 ,3,"2,500"
0,"Apartment Osdorpplein


                       ", 1068 TB ,71 ,3,"3,000"
0,"Apartment Groen van Prinstererstraat


                       ", 1051 EK ,50 ,2,"2,000"
0,"Apartment Rozengracht 15 B


                       ", 1016 LP ,55 ,2,"2,500"
0,"Apartment Admiraliteitstraat


                       ", 1018 KP ,56 ,2,"2,800"
0,"Apartment Lampongstraat 18 1


                       ", 1094 AV ,51 ,2,"2,000"
0,"Apartment Valeriusstraat


                       ", 1075 GJ ,60 ,3,"3,000"
0,"Apartment Sara Burgerhartstraat 2


                       ", 1055 KW ,46 ,3,"2,500"
0,"Apartment Staringstraat


                       ", 1054 VR ,50 ,2,"1,300"
0,"Apartment Tweede Anjeliersdwarsstraat 22 2


                       ", 1015 NT ,49 ,2,"3,500"
0,"Apartment Westerstraat 248 I


                       ", 1015 MT ,55 ,2,"2,500"
0,"Apartment Anna Blamansingel 186


                       ", 1102 SW ,50 ,2,"1,300"
0,, 1086 XR ,10 ,1,€1500
0,"Apartment Prinsengracht 193 3


                       ", 1015 DS ,40 ,3,"5,500"
0,"Apartment IJburglaan


                       ", 1087 EN ,95 ,3,"2,500"
0,"Apartment Emmeline Pankhurststraat



                       ", 1103 MT ,98 ,3,"2,150"
0,"Apartment Nieuwe Prinsengracht 94 3


                       ", 1018 VW ,60 ,3,"3,500"
0,"Apartment Javastraat


                       ", 1094 GZ ,65 ,2,"2,800"
0,"Apartment Eef Kamerbeekstraat 520


                       ", 1095 MP ,82 ,3,"2,500"
0,"Apartment Wiborgeiland 116


                       ", 1014 ZC ,94 ,3,"3,650"
0,"Apartment Admiraal De Ruijterweg 137 III


                       ", 1056 EZ ,85 ,3,"4,000"
0,, 1077 BB ,09 ,6,"9,000"
0,"Apartment Ceintuurbaan


                       ", 1074 EB ,60 ,2,"2,800"
0,"Apartment Da Costakade


                       ", 1052 SJ ,60 ,2,"3,500"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Ruysdaelstraat 92 K


                       ", 1071 XH ,50 ,2,"2,800"
0,"Apartment Egidiusstraat


                       ", 1055 GT ,73 ,3,"2,150"
0,"Apartment Hellingstraat


                       ", 1033 WW ,88 ,4,"3,500"
0,"Apartment Hellingstraat



                       ", 1033 WW ,82 ,3,"2,500"
0,"Apartment Hellingstraat


                       ", 1033 WW ,24 ,6,"4,350"
0,"Apartment Eendrachtstraat 28 II


                       ", 1078 XZ ,75 ,7,"7,000"
0,"Apartment Legmeerstraat 62 2V


                       ", 1058 NG ,24 ,1,"2,500"
0,"Apartment Brittenburg 17


                       ", 1082 BS ,69 ,3,"2,750"
0,"Apartment Koxhorn 19 1


                       ", 1082 EW ,76 ,2,"3,000"
0,"Apartment Keizersgracht


                       ", 1015 CW ,90 ,2,"3,500"
0,"Apartment Gustav Mahlerlaan


                       ", 1082 MK ,81 ,3,"5,500"
0,"Apartment Gouwenaarssteeg 20


                       ", 1012 MZ ,28 ,2,"2,500"
0,"Apartment Tweede Atjehstraat 20 I


                       ", 1094 LG ,63 ,3,"2,500"
0,"Apartment Holendrechtstraat


                       ", 1078 TT ,40 ,1,"2,100"
0,"Apartment Andreas Bonnstraat 38 1


                       ", 1091 BA ,50 ,2,"2,500"
0,"Apartment Carnapstraat


                       ", 1062 KT ,73 ,2,"2,500"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Middenweg


                       ", 1098 AC ,70 ,3,"3,000"
0,"Apartment Veerstraat 25 2


                       ", 1075 SM ,68 ,2,"2,800"
0,"Apartment Bos en Lommerplein 24



                       ", 1055 EK ,80 ,3,"2,500"
0,"Apartment Van Woustraat


                       ", 1073 LL ,82 ,2,"3,000"
0,"Apartment Nieuwezijds Voorburgwal 169 F


                       ", 1012 RK ,60 ,2,"2,750"
0,"Apartment Keizersgracht


                       ", 1017 DM ,12 ,2,"4,750"
0,"Apartment Ferguutstraat


                       ", 1055 SW ,55 ,3,"2,000"
0,"Apartment Derde Helmersstraat


                       ", 1054 BG ,41 ,1,"3,000"
0,"Apartment Goudsbloemstraat 191 B


                       ", 1015 JN ,51 ,2,"3,500"
0,"Apartment Orteliusstraat


                       ", 1057 BK ,60 ,2,"2,800"
0,"Apartment Jisperveldstraat 464


                       ", 1024 AX ,85 ,4,"2,000"
0,"Apartment Emmeline Pankhurststraat


                       ", 1103 MN ,00 ,4,"2,300"
0,, 1094 PB ,10 ,1,€1500
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,"Apartment Sloterkade 65 2


                       ", 1058 HH ,30 ,1,"2,350"
0,"Apartment Erasmusgracht 19 2


                       ", 1056 BB ,45 ,2,"3,000"
0,"Apartment Grimbergenstraat


                       ", 1066 JT ,34 ,1,"2,000"
0,"Apartment Schippersgracht


                       ", 1011 TS ,90 ,3,"3,000"
0,"Apartment Het Breed 515


                       ", 1025 HT ,95 ,3,"3,000"
0,, 1103 TT ,15 ,1, €910
0,"Apartment Van Leijenberghlaan 155


                       ", 1082 GE ,13 ,4,"4,300"
0,"Apartment Van Heenvlietlaan 186


                       ", 1083 CM ,13 ,4,"4,300"
0,"Apartment Prinsengracht


                       ", 1016 HK ,55 ,2,"4,000"
0,"Apartment Valkenburgerstraat


                       ", 1011 NC ,00 ,2,"3,500"
0,"Apartment Wilhelminastraat


                       ", 1054 VZ ,50 ,2,"1,700"
0,, 1035 SH ,20 ,4,"3,150"
0,"Apartment Jan Olphert Vaillantlaan


                       ", 1086 ZA ,60 ,3,"2,150"
0,"Apartment Veenendaalplein


                       ", 1106 CS ,88 ,4,"1,700"
0,"Apartment Lauriergracht


                       ", 1016 RV ,48 ,2,"2,500"
0,"Apartment Raamgracht 27 II


                       ", 1011 KJ ,34 ,2,"2,800"
0,"Apartment Wiborgeiland


                       ", 1014 ZC ,02 ,3,"2,950"
0,"Apartment Kranenburg


                       ", 1083 JM ,95 ,4,"2,500"
0,"Apartment IJdoornlaan


                       ", 1034 BM ,54 ,2,"2,300"
0,"Apartment Eosstraat 416


                       ", 1076 DT ,91 ,3,"2,500"
0,"Apartment Wibautstraat 66 K


                       ", 1091 GN ,43 ,1,"2,000"
0,"Apartment Wibautstraat 70 R


                       ", 1091 GN ,75 ,2,"3,000"
0,"Apartment Krooswijkhof 85


                       ", 1082 PB ,28 ,3,"3,000"
0,"Apartment Johannes Verhulststraat 62 2


                       ", 1071 NG ,85 ,3,"4,450"
0,"Apartment Rijnstraat


                       ", 1078 RB ,75 ,3,"4,050"
0,"Apartment Evertsweertplantsoen 38


                       ", 1069 RL ,70 ,2,"2,000"
0,"Apartment Parnassusweg


                       ", 1076 AT ,55 ,2,"2,150"
0,"Apartment Warmoesstraat 46 B


                       ", 1012 JE ,70 ,2,"4,200"
0,"Apartment Schierstins 73


                       ", 1082 TD ,72 ,3,"2,500"
0,"Apartment Spuistraat


                       ", 1012 VP ,65 ,3,"4,450"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
