,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Céramiquelaan 43


                       ", 1031 KG ,30 ,3,"4,000"
0,"Apartment Brouwersgracht 248 C


                       ", 1013 HE ,78 ,2,"3,000"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Andreasplein 89


                       ", 1058 GD ,45 ,4,"4,200"
0,"Apartment Jan Smitstraat


                       ", 1069 SZ ,95 ,3,"3,000"
0,"Apartment Tweede Anjeliersdwarsstraat


                       ", 1015 NT ,50 ,2,"3,500"
0,"Apartment Staalstraat 11 D


                       ", 1011 JK ,54 ,2,"2,300"
0,"Apartment Holendrechtstraat


                       ", 1078 TT ,22 ,1, €915
0,"Apartment Mauritskade


                       ", 1093 RR ,50 ,2,"2,500"
0,"Apartment Prinsengracht 528 3


                       ", 1017 KJ ,80 ,2,"4,500"
0,"Apartment Overtoom


                       ", 1054 JD ,70 ,3,"2,500"
0,"Apartment Andries Copierstraat 38


                       ", 1061 SE ,04 ,3,"3,600"
0,"Apartment Korte Leidsedwarsstraat


                       ", 1017 PV ,55 ,2,"2,500"
0,"Apartment Veembroederhof 161


                       ", 1019 HD ,30 ,1,"4,200"
0,"Apartment Dalsteindreef


                       ", 1102 XA ,44 ,2,"1,700"
0,"Apartment Van Nijenrodeweg 509


                       ", 1082 HP ,36 ,2,"1,300"
0,"Apartment Hoogoord


                       ", 1102 CB ,93 ,6,"4,350"
0,"Apartment Elisabeth Wolffstraat


                       ", 1053 TR ,70 ,2,"2,750"
0,"Apartment Van Leijenberghlaan 139


                       ", 1082 GD ,16 ,4,"2,200"
0,"Apartment Termini 449


                       ", 1025 XM ,75 ,3,"3,500"
0,"Apartment Fritz Dietrich Kahlenbergstraat


                       ", 1087 MS ,90 ,3,"3,500"
0,"Apartment Churchill-laan


                       ", 1078 EW ,41 ,3,"9,000"
0,"Apartment Geldersekade


                       ", 1011 EJ ,80 ,3,"3,000"
0,"Apartment Heer Halewijnstraat


                       ", 1055 SR ,53 ,3,"1,700"
0,"Apartment Buiksloterweg 101


                       ", 1031 CJ ,56 ,1,"2,300"
0,"Apartment Funenpark 514


                       ", 1018 AK ,15 ,3,"4,500"
0,"Apartment Tweede Oosterparkstraat 3 HS


                       ", 1091 HT ,65 ,3,"3,500"
0,"Apartment Madurastraat 9 B


                       ", 1094 GC ,65 ,2,"1,700"
0,"Apartment Vrolikstraat 349 R


                       ", 1092 TB ,83 ,3,"3,500"
0,"Apartment Tweede Jan van der Heijdenstraat


                       ", 1074 XR ,47 ,2,"3,000"
0,"Apartment Marius Bauerstraat


                       ", 1062 AL ,56 ,2,"2,000"
0,"Apartment Ten Katestraat


                       ", 1053 CG ,62 ,3,"2,800"
0,"Apartment Pieter Cornelisz. Hooftstraat 57 I


                       ", 1071 BN ,70 ,3,"3,150"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Aalsmeerweg 127 2


                       ", 1059 AH ,72 ,3,"2,800"
0,"Apartment Overtoom


                       ", 1054 HC ,82 ,3,"4,000"
0,"Apartment Tweede Kostverlorenkade 20 III


                       ", 1052 RL ,62 ,4,"2,000"
0,"Apartment Sarphatipark 116 IV


                       ", 1073 ED ,75 ,3,"2,500"
0,"Apartment Woutertje Pietersestraat 38 I


                       ", 1061 DG ,63 ,3,"2,300"
0,"Apartment Overtoom


                       ", 1054 JD ,66 ,7,"4,650"
0,"Apartment Cornelis Schuytstraat 38 II


                       ", 1071 JK ,33 ,4,"4,500"
0,"Apartment Vondelstraat 170 I


                       ", 1054 GV ,90 ,3,"3,650"
0,"Apartment Agamemnonstraat


                       ", 1076 LN ,25 ,5,"3,500"
0,"Apartment Lauriergracht 121 III-IV


                       ", 1016 RK ,12 ,3,"3,650"
0,"Apartment Archimedesweg 65 I


                       ", 1098 JM ,50 ,2,"2,300"
0,"Apartment Dusartstraat


                       ", 1072 HT ,55 ,2,"2,000"
0,"Apartment Nijenburg 88


                       ", 1081 GG ,80 ,4,"4,450"
0,"Apartment Weenahof 16


                       ", 1083 JE ,97 ,3,"3,500"
0,"Apartment Overvoorde


                       ", 1082 GB ,10 ,4,"3,450"
0,"Apartment Amerbos


                       ", 1025 ZT ,85 ,4,"2,150"
0,"Apartment Rosy Wertheimstraat


                       ", 1082 MZ ,48 ,2,"3,500"
0,"Apartment Doornburg 132


                       ", 1081 JX ,45 ,3,"4,500"
0,"Apartment Willem de Zwijgerlaan


                       ", 1056 JN ,60 ,3,"2,500"
0,, 1077 JS ,10 ,6,"4,650"
0,"Apartment Beethovenstraat


                       ", 1077 JS ,40 ,4,"4,500"
0,"Apartment Amstelvlietstraat


                       ", 1096 GG ,75 ,4,"9,000"
0,"Apartment Sean MacBridestraat


                       ", 1102 JW ,06 ,4,"4,350"
0,"Apartment Faas Wilkesstraat 167 B


                       ", 1095 MD ,04 ,4,"3,200"
0,"Apartment Liendenhof


                       ", 1108 HP ,15 ,4,"4,000"
0,"Apartment Burgemeester Hogguerstraat


                       ", 1064 CM ,93 ,2,"3,000"
0,"Apartment Nieuwe Spiegelstraat 68 1


                       ", 1017 DH ,78 ,2,"4,500"
0,"Apartment Boterdiepstraat


                       ", 1079 SW ,81 ,3,"3,000"
0,, 1054 HS ,85 ,5,"9,000"
0,, 1062 EV ,23 ,1, €905
0,"Apartment Hageland 130


                       ", 1066 SB ,77 ,3,"1,700"
0,"Apartment Aalsmeerweg 127 2


                       ", 1059 AH ,72 ,3,"2,800"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,, 1074 JH ,80 ,4,"7,000"
0,"Apartment Marnixstraat 220 E


                       ", 1016 TL ,71 ,3,"3,500"
0,"Apartment Weteringschans 95 II


                       ", 1017 RZ ,85 ,4,"6,200"
0,"Apartment Singel 93 I


                       ", 1012 VG ,75 ,2,"4,450"
0,"Apartment Bellamystraat 32


                       ", 1053 BM ,58 ,2,"2,000"
0,"Apartment Loodskotterhof


                       ", 1034 CM ,82 ,3,"2,150"
0,"Apartment Niasstraat


                       ", 1095 VA ,06 ,3,"3,000"
0,"Apartment Orteliusstraat


                       ", 1056 NV ,55 ,3,"2,500"
0,"Apartment Grensstraat


                       ", 1091 SW ,65 ,2,"3,000"
0,, 1028 BL ,95 ,4,"4,450"
0,"Apartment Prinsengracht


                       ", 1017 LD ,50 ,5,"4,700"
0,"Apartment Van Hogendorpstraat


                       ", 1051 BM ,51 ,1,"2,000"
0,"Apartment J.J. Cremerstraat 4 hs


                       ", 1054 TD ,65 ,2,"3,000"
0,"Apartment Weteringschans 104 2


                       ", 1017 XS ,85 ,2,"2,800"
0,"Apartment Van Nijenrodeweg


                       ", 1083 EL ,87 ,3,"2,800"
0,"Apartment Van Linschotenstraat 38


                       ", 1013 PN ,63 ,3,"3,600"
0,"Apartment Sarphatipark 114 III


                       ", 1073 ED ,80 ,3,"4,500"
0,"Apartment Utrechtsedwarsstraat


                       ", 1017 WG ,40 ,1,"2,300"
0,"Apartment Hunzestraat


                       ", 1079 VV ,60 ,3,"2,150"
0,"Apartment Reguliersgracht


                       ", 1017 LR ,55 ,3,"3,450"
0,"Apartment Nieuwezijds Voorburgwal


                       ", 1012 SE ,60 ,2,"2,150"
0,"Apartment Mensinge 70


                       ", 1083 HG ,10 ,3,"3,450"
0,"Apartment Govert Flinckstraat 110 B


                       ", 1072 EL ,96 ,3,"4,350"
0,"Apartment Boomstraat


                       ", 1015 LA ,50 ,2,"3,000"
0,"Apartment Da Costastraat 10 1


                       ", 1053 ZB ,78 ,2,"2,500"
0,"Apartment Jacob van Lennepstraat


                       ", 1053 KB ,50 ,2,"2,500"
0,"Apartment Van Oldenbarneveldtstraat


                       ", 1052 JV ,71 ,3,"3,050"
0,"Apartment Oudezijds Voorburgwal 43 1


                       ", 1012 EJ ,28 ,2,"2,000"
0,"Apartment Van Heenvlietlaan 186 A


                       ", 1083 CM ,26 ,4,"4,300"
0,"Apartment Elckerlijcstraat


                       ", 1055 AN ,55 ,3,"2,750"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Duinluststraat


                       ", 1024 VH ,95 ,3,"2,500"
0,"Apartment Waldeck Pyrmontlaan 20 3RV


                       ", 1075 BX ,80 ,6,"3,500"
0,"Apartment Oudeschans 67 E


                       ", 1011 KW ,65 ,2,"4,000"
0,"Apartment Crynssenstraat 51


                       ", 1058 XV ,60 ,2,"3,500"
