,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
330,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
331,Wilhelminastraat                       , 1054 WH ,65.0,3,2000.0,30.76923076923077,52.361416,4.862565
332,Baarsjesweg 235 2                       , 1058 AA ,53.0,2,2150.0,40.56603773584906,52.362505,4.857736
333,Wingerdweg 287                       , 1032 AK ,51.0,2,2150.0,42.15686274509804,52.397019,4.917739
334,Lomanstraat                       , 1075 PS ,210.0,5,8000.0,38.095238095238095,52.351284,4.859917
335,J.J. Cremerplein 10 III                       , 1054 TK ,65.0,3,3000.0,46.153846153846146,52.359761,4.8591190000000015
336,Plantage Kerklaan                       , 1018 CW ,140.0,2,3650.0,26.07142857142857,52.368127,4.91343
337,Gustav Mahlerlaan                       , 1082 MK ,45.0,1,2000.0,44.444444444444436,52.336678000000006,4.877193
338,Zocherstraat 58 2                       , 1054 MA ,109.0,3,2950.0,27.06422018348624,52.356869,4.855587
339,Rozengracht 231 1                       , 1016 NA ,45.0,2,2500.0,55.55555555555557,52.372241,4.876739
340,Elzenhagensingel 313                       , 1022 LA ,101.0,3,2350.0,23.26732673267327,52.402338,4.930535
341,Buitendraaierij                       , 1021 NN ,46.0,2,2300.0,50.0,52.381813,4.916164
342,Prinseneiland 55 C                       , 1013 LM ,45.0,2,1700.0,37.77777777777778,52.386422,4.886946
343,Govert Flinckstraat 113 2A                       , 1072 EG ,33.0,2,1950.0,59.09090909090909,52.354841,4.891676
344,Albert Cuypstraat 138 2V                       , 1073 BJ ,32.0,2,2500.0,78.125,52.355479,4.893695
345,Johannes Verhulststraat 119 1                       , 1071 MZ ,83.0,3,3650.0,43.975903614457856,52.354043,4.870959
346,Spaarndammerstraat 21 2                       , 1013 SR ,70.0,2,1700.0,24.285714285714285,52.388343,4.880035
347,Oostenburgerpark 24                       , 1018 HT ,47.0,2,2300.0,48.93617021276596,52.369004,4.9244379999999985
348,Derde Leliedwarsstraat 13 3                       , 1015 TD ,55.0,3,3000.0,54.54545454545455,52.374651,4.879163
349,Van Walbeeckstraat                       , 1058 CX ,60.0,3,2800.0,46.66666666666666,52.36147800000001,4.851012
350,Reestraat 28 1                       , 1016 DN ,55.0,2,2500.0,45.45454545454545,52.372459,4.88352
351,Keizersgracht 634 L                       , 1017 ER ,65.0,2,3000.0,46.153846153846146,52.363711,4.891254
352,Postjesweg                       , 1062 JV ,80.0,4,2800.0,35.0,52.3648,4.858389
353,Kinkerstraat 215 B                       , 1053 DS ,61.0,2,3000.0,49.18032786885247,52.365372,4.865792
354,Buitenzagerij 64                       , 1021 NR ,55.0,2,1950.0,35.45454545454545,52.382375,4.917013
355,Jacob van Lennepkade 406 2                       , 1053 NN ,48.0,1,3000.0,62.5,52.362251,4.859192
356,Arondeusstraat 23                       , 1063 GB ,23.0,1,1900.0,82.6086956521739,52.382706,4.825916
357,Brouwersgracht 248 K                       , 1013 HE ,60.0,2,2150.0,35.833333333333336,52.382417,4.885611
358,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
359,Ten Katestraat 11                       , 1053 BV ,50.0,3,2500.0,50.0,52.367855,4.866438
360,Kinkerstraat                       , 1053 DG ,68.0,2,2500.0,36.76470588235294,52.367586,4.873204
361,Willem Heselaarsstraat 70 BG                       , 1069 KA ,95.0,1,4000.0,42.10526315789474,52.352124,4.798694
362,Arent Janszoon Ernststraat                       , 1082 LD ,30.0,1,2500.0,83.33333333333333,52.332122,4.888758
363,Valkenburgerstraat                       , 1011 NC ,95.0,3,5000.0,52.631578947368425,52.369578,4.906694
364,Mortelstraat 127                       , 1019 VE ,85.0,3,3000.0,35.29411764705883,52.368949,4.951658
365,Van Baerlestraat                       , 1071 AS ,83.0,3,5000.0,60.240963855421676,52.354889,4.880967
366,Nieuwe Looiersstraat                       , 1017 VD ,50.0,3,2800.0,56.0,52.360618,4.893686
367,Herengracht                       , 1016 BP ,55.0,2,2500.0,45.45454545454545,52.365048,4.898317
368,Kinkerstraat                       , 1053 GB ,50.0,2,3000.0,60.0,52.367586,4.873204
369,Tweede Jan Steenstraat 101 III                       , 1074 CM ,118.0,4,5500.0,46.61016949152543,52.357046,4.903175
370,Valeriusstraat 239 IV                       , 1075 GA ,26.0,1,1300.0,50.0,52.351263,4.858179
371,Van Spilbergenstraat                       , 1057 RP ,127.0,4,4250.0,33.46456692913386,52.367038,4.851559
372,Kinkerstraat 338 1                       , 1053 GE ,35.0,2,2350.0,67.14285714285714,52.364853,4.862318
373,Bilderdijkstraat                       , 1053 KT ,46.0,3,3000.0,65.21739130434783,52.37083,4.869921
374,Elisabeth Wolffstraat                       , 1053 TV ,50.0,3,4000.0,80.0,52.369781,4.867401
375,Nicolaas Maesstraat                       , 1071 RA ,40.0,2,2150.0,53.75,52.354105,4.8780230000000016
376,Albert Cuypstraat 268 4 V                       , 1073 BR ,24.0,2,2500.0,104.16666666666669,52.356812,4.898832
377,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
378,Brouwersgracht 248 K                       , 1013 HE ,60.0,2,2150.0,35.833333333333336,52.382417,4.885611
379,Oude Doelenstraat                       , 1012 ED ,38.0,2,2300.0,60.526315789473685,52.371662,4.896365
380,Langswater                       , 1069 EC ,72.0,4,2500.0,34.72222222222222,52.356349,4.788918
381,Gerard Doustraat                       , 1073 XA ,56.0,3,3500.0,62.5,52.355304,4.8898220000000014
382,Assumburg                       , 1081 GC ,115.0,5,2950.0,25.65217391304348,52.328355,4.867872
383,Spaarndammerstraat 33 3                       , 1013 SR ,60.0,4,2500.0,41.66666666666666,52.388638,4.8798059999999985
384,Amsteldijk 15 4                       , 1074 HR ,70.0,2,3600.0,51.42857142857143,52.346071,4.91188
385,Tweede Jan Steenstraat 1 1                       , 1073 VK ,71.0,3,3650.0,51.40845070422535,52.355624,4.898244
386,Veldzicht 51                       , 1068 SM ,95.0,4,2200.0,23.157894736842106,52.363087,4.798299
387,S. F. van Ossstraat                       , 1068 JN ,55.0,2,2300.0,41.81818181818182,52.356205,4.813625
388,Eef Kamerbeekstraat                       , 1095 MP ,67.0,2,3000.0,44.77611940298507,52.372494,4.966063
389,Eef Kamerbeekstraat                       , 1095 MP ,61.0,2,1600.0,26.229508196721312,52.372494,4.966063
390,Berthold Brechtstraat                       , 1102 RW ,72.0,3,2500.0,34.72222222222222,52.318382,4.946321
391,Nassaukade 9 2                       , 1052 CE ,72.0,1,3000.0,41.66666666666666,52.375976,4.875815
392,Rustenburgerstraat                       , 1072 HC ,80.0,3,4350.0,54.375,52.35135,4.890665
393,Eemsstraat                       , 1079 TJ ,80.0,3,2200.0,27.5,52.341947,4.908885
394,Tweede Jan Steenstraat                       , 1074 CN ,75.0,3,2500.0,33.333333333333336,52.355608,4.89889
395,Jan Luijkenstraat 40 H                       , 1071 CR ,200.0,5,6500.0,32.5,52.360122,4.882134
