,Unnamed: 0, Latitude, Longitude, Status
254,254,489.973,doubt,
255,255,52.355.516,4.854.101,success
256,256,52.347.187,4.908.138,success
257,257,52.382.417,4.885.611,doubt
258,258,52.380.952,4.845.597,success
259,259,52.379.658,4.873.011,success
260,260,52.379.638,4.924.767,success
261,261,52.375.858,4.891.292,success
262,262,52.362.457,4.979.589,doubt
263,263,52.370.433,4.882.517,success
264,264,52.361.553,4.870.123,doubt
265,265,52.355.049,4.879.065,doubt
266,266,489.973,doubt,
267,267,489.973,doubt,
268,268,failed,failed,failed
269,269,52.342.239,4.845.759,success
270,270,52.375.484,488.599,success
271,271,52.360.388,4.945.341,success
272,272,52.368.507,4.971.287,doubt
273,273,52.338.005,4.919.954,doubt
274,274,52.364.587,4.883.215,doubt
275,275,52.367.094,4.852.836,doubt
276,276,52.355.899,4.895.048,doubt
277,277,52.360.839,4.906.705,doubt
278,278,52.325.239,4.943.757,success
279,279,5.236.012,4.843.505,doubt
280,280,489.973,doubt,
281,281,52.360.356,4.837.884,doubt
282,282,52.331.405,4.869.374,success
283,283,52.351.221,4.844.969,doubt
284,284,489.973,doubt,
285,285,52.368.567,4.891.993,doubt
286,286,52.363.788,492.666,success
287,287,52.406.032,4.935.382,doubt
288,288,52.347.187,4.908.138,success
289,289,52.382.417,4.885.611,doubt
290,290,52.367.586,4.873.204,doubt
291,291,52.375.009,4.898.612,success
292,292,52.331.795,4.889.087,doubt
293,293,52.403.167,493.714,success
294,294,52.356.334,4.839.951,success
295,295,489.973,doubt,
296,296,52.360.139,4.882.002,doubt
297,297,52.321.782,4.976.754,success
298,298,52.365.369,4.880.152,doubt
299,299,52.363.891,4.876.734,success
300,300,5.238.353,4.874.846,doubt
301,301,52.355.128,4.922.513,doubt
302,302,52.367.437,4.851.202,doubt
303,303,52.328.655,485.723,doubt
304,304,52.328.522,4.865.784,success
305,305,52.374.287,487.811,doubt
306,306,52.325.837,4.858.159,success
307,307,52.354.581,4.886.157,success
308,308,52.353.543,4.902.691,success
309,309,52.382.095,4.881.634,doubt
310,310,52.368.917,4.856.676,success
311,311,5.235.622,4.888.285,doubt
312,312,489.973,doubt,
313,313,52.365.048,4.898.317,success
314,314,52.373.945,4.888.144,doubt
315,315,52.351.622,4.855.973,doubt
316,316,5.235.582,4.850.095,doubt
317,317,52.353.222,4.865.353,doubt
318,318,52.361.024,4.868.881,doubt
319,319,52.398.777,4.951.183,doubt
320,320,52.354.812,4.901.037,doubt
321,321,52.382.417,4.885.611,doubt
322,322,489.973,doubt,
323,323,489.973,doubt,
324,324,52.356.921,4.902.516,success
325,325,52.354.889,4.880.967,success
326,326,52.346.736,4.839.482,doubt
327,327,52.346.736,4.839.482,doubt
328,328,52.325.415,48.842,success
329,329,5.238.798,4.879.565,success
330,330,52.350.566,4.891.676,success
331,331,52.393.456,487.726,doubt
332,332,52.356.556,4.888.733,doubt
333,333,52.379.572,4.878.407,success
334,334,52.356.267,4.892.952,success
335,335,52.354.738,4.905.827,doubt
336,336,52.354.738,4.905.827,doubt
337,337,52.352.618,4.869.919,doubt
338,338,52.389.645,4.883.781,doubt
339,339,52.357.359,4.800.954,doubt
340,340,5.236.696,4.897.082,doubt
341,341,52.355.145,4.899.908,doubt
342,342,52.317.284,4.969.253,success
343,343,failed,failed,failed
344,344,52.385.518,4.890.923,success
345,345,52.372.548,4.871.593,doubt
346,346,52.346.432,4.892.328,doubt
347,347,52.366.584,4.875.938,doubt
348,348,52.368.507,4.971.287,doubt
349,349,doubt,,
350,350,52.347.275,4.877.231,doubt
351,351,52.332.209,4.856.044,success
352,352,52.354.812,4.901.037,doubt
353,353,489.973,doubt,
354,354,52.345.265,4.812.197,doubt
355,355,5.236.509,4.860.831,success
356,356,52.381.762,4.869.285,doubt
357,357,52.371.607,4.889.978,success
358,358,5.237.056,4.889.144,success
359,359,5.237.056,4.889.144,success
360,360,52.291.833,496.894,success
361,361,52.375.276,4.892.902,doubt
362,362,52.350.707,4.856.842,success
363,363,52.381.813,4.916.164,doubt
364,364,52.372.615,4.847.498,doubt
365,365,52.344.208,4.908.371,success
366,366,52.344.208,4.908.371,success
367,367,52.371.164,4.873.306,success
368,368,52.363.351,4.884.784,doubt
369,369,52.353.327,4.873.801,success
370,370,52.408.408,4.891.577,success
371,371,52.332.607,4.872.148,success
372,372,52.397.444,4.929.783,success
373,373,52.370.849,4.891.894,success
374,374,52.352.568,4.867.877,doubt
375,375,52.353.664,499.743,success
376,376,52.360.235,4.989.694,success
377,377,52.364.314,4.986.399,success
378,378,52.348.849,4.839.201,success
379,379,52.348.849,4.839.201,doubt
380,380,52.348.849,4.839.201,doubt
381,381,52.348.849,4.839.201,doubt
382,382,doubt,,
383,383,52.367.484,4.905.997,success
384,384,489.973,doubt,
385,385,52.379.823,4.849.554,doubt
386,386,52.355.581,4.895.827,success
387,387,52.373.708,4.900.629,doubt
388,388,52.354.728,4.921.661,success
389,389,52.357.236,4.856.581,success
390,390,52.349.028,4.908.977,success
391,391,52.363.508,4.884.942,success
392,392,52.363.508,4.884.942,success
393,393,52.363.508,4.884.942,success
394,394,52.351.443,4.916.401,success
395,395,52.403.167,493.714,success
396,396,52.363.977,4.884.571,success
397,397,52.354.195,4.910.623,success
398,398,52.359.045,4.787.959,success
399,399,52.384.849,4.850.744,doubt
400,400,52.365.048,4.898.317,doubt
401,401,52.356.401,4.901.294,doubt
402,402,52.380.355,4.876.219,doubt
403,403,489.973,doubt,
404,404,52.362.854,48.753,success
405,405,52.345.101,4.889.051,success
406,406,52.368.888,4.883.527,success
407,407,51.322.737,3.853.791,doubt
408,408,52.327.514,4.882.211,doubt
409,409,52.350.372,4.870.512,success
410,410,5.235.158,4.858.601,doubt
411,411,52.354.942,4.905.282,doubt
412,412,52.371.642,496.685,doubt
413,413,52.351.586,4.855.958,doubt
414,414,52.353.331,489.493,success
415,415,489.973,doubt,
416,416,52.379.823,4.849.554,doubt
417,417,52.382.417,4.885.611,doubt
418,418,52.361.416,4.862.565,success
419,419,52.362.505,4.857.736,doubt
420,420,52.397.019,4.917.739,doubt
421,421,52.351.284,4.859.917,success
422,422,52.359.761,4.859.119,doubt
423,423,52.368.127,491.343,success
424,424,52.336.678,4.877.193,success
425,425,52.352.289,4.912.112,success
426,426,52.356.869,4.855.587,doubt
427,427,52.372.241,4.876.739,doubt
428,428,52.402.338,4.930.535,doubt
429,429,52.381.813,4.916.164,success
430,430,52.386.422,4.886.946,doubt
431,431,52.354.841,4.891.676,doubt
432,432,52.355.479,4.893.695,doubt
433,433,52.354.043,4.870.959,doubt
434,434,52.388.343,4.880.035,doubt
435,435,52.369.004,4.924.438,success
436,436,52.374.651,4.879.163,doubt
437,437,doubt,,
438,438,5.235.476,4.924.894,doubt
439,439,52.361.478,4.851.012,success
440,440,52.372.459,488.352,doubt
441,441,52.363.711,4.891.254,doubt
442,442,523.648,4.858.389,doubt
443,443,52.365.372,4.865.792,doubt
444,444,52.382.375,4.917.013,success
445,445,52.362.251,4.859.192,doubt
446,446,52.382.706,4.825.916,success
447,447,52.714.408,685.834,doubt
448,448,52.382.417,4.885.611,success
449,449,52.382.417,4.885.611,doubt
450,450,52.367.855,4.866.438,doubt
451,451,52.366.868,4.924.812,success
452,452,52.367.586,4.873.204,success
453,453,52.376.784,4.848.894,doubt
454,454,52.352.124,4.798.694,success
455,455,52.350.631,4.847.472,doubt
456,456,52.351.204,4.847.601,success
457,457,52.306.591,5.238.379,doubt
458,458,5.235.446,4.938.049,doubt
459,459,52.332.122,4.888.758,success
460,460,52.373.478,484.759,doubt
461,461,52.369.578,4.906.694,doubt
462,462,489.973,doubt,
463,463,52.368.949,4.951.658,success
464,464,52.361.769,4.862.475,success
465,465,52.354.889,4.880.967,doubt
466,466,52.360.618,4.893.686,success
467,467,52.365.048,4.898.317,success
468,468,52.367.586,4.873.204,doubt
469,469,52.357.046,4.903.175,doubt
470,470,52.351.263,4.858.179,doubt
471,471,52.367.038,4.851.559,success
472,472,52.364.853,4.862.318,success
473,473,5.237.083,4.869.921,success
474,474,52.368.479,4.881.848,doubt
475,475,52.369.781,4.867.401,success
476,476,52.354.105,4.878.023,success
477,477,52.345.112,4.894.794,doubt
478,478,52.356.812,4.898.832,doubt
479,479,52.365.173,4.880.495,success
480,480,52.382.417,4.885.611,doubt
481,481,52.382.417,4.885.611,success
482,482,52.371.662,4.896.365,success
483,483,52.325.239,4.943.757,success
484,484,52.356.349,4.788.918,success
485,485,52.355.304,4.889.822,success
486,486,52.328.355,4.867.872,success
487,487,52.388.638,4.879.806,doubt
488,488,52.346.071,491.188,doubt
489,489,52.355.624,4.898.244,success
490,490,52.363.087,4.798.299,doubt
491,491,52.356.205,4.813.625,success
492,492,52.372.494,4.966.063,doubt
493,493,52.372.494,4.966.063,doubt
494,494,52.318.382,4.946.321,success
495,495,52.343.975,4.860.349,doubt
496,496,52.375.976,4.875.815,doubt
497,497,5.235.135,4.890.665,success
498,498,52.352.162,4.847.741,doubt
499,499,52.341.947,4.908.885,success
500,500,52.355.608,489.889,doubt
501,501,52.360.122,4.882.134,doubt
502,502,489.973,doubt,
503,503,52.363.788,492.666,success
504,504,52.369.781,4.867.401,success
505,505,52.325.239,4.943.757,success
506,506,52.325.239,4.943.757,success
507,507,52.349.216,478.523,success
508,508,52.355.156,491.896,success
509,509,52.375.858,4.891.292,success
510,510,5.237.003,4.856.398,doubt
511,511,5.237.667,4.818.987,success
512,512,52.347.187,4.908.138,success
513,513,52.382.417,4.885.611,doubt
514,514,52.341.869,489.344,success
515,515,52.395.674,4.915.981,success
516,516,52.346.692,4.935.249,success
517,517,52.399.525,4.932.976,success
518,518,52.333.504,488.528,doubt
519,519,52.336.923,487.132,success
520,520,52.336.923,4.871.496,success
521,521,52.336.913,4.871.129,success
522,522,52.318.351,4.980.421,success
523,523,52.336.923,4.871.349,success
524,524,52.353.513,4.887.904,doubt
525,525,52.371.945,4.858.019,success
526,526,52.359.511,4.895.118,success
527,527,52.382.417,4.885.611,doubt
528,528,52.362.647,4.927.389,success
529,529,52.325.239,4.943.757,success
530,530,52.342.892,4.873.114,doubt
531,531,52.358.235,4.895.936,success
