,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude,Status
300,Van Hogendorpstraat 76 2                       , 1051 BS ,41.0,2,3500.0,85.36585365853658,5.238.353,4.874.846,doubt
301,Pretoriusstraat 58 1                       , 1092 GJ ,85.0,3,3150.0,37.058823529411775,52.355.128,4.922.513,doubt
302,Van Spilbergenstraat 10 1                       , 1057 RG ,58.0,3,1700.0,29.310344827586214,52.367.437,4.851.202,doubt
303,Amstelveenseweg 864 I                       , 1081 JM ,42.0,2,2000.0,47.61904761904761,52.328.655,485.723,doubt
304,Nijenburg 70                       , 1081 GG ,85.0,3,3000.0,35.29411764705883,52.328.522,4.865.784,success
305,Bloemgracht 158 C                       , 1015 TT ,45.0,2,2150.0,47.77777777777778,52.374.287,487.811,doubt
306,Bolestein 268                       , 1081 EC ,88.0,3,3000.0,34.09090909090909,52.325.837,4.858.159,success
307,Ruysdaelstraat                       , 1071 XE ,55.0,2,3000.0,54.54545454545455,52.354.581,4.886.157,success
308,Kuipersstraat                       , 1073 ER ,40.0,2,2000.0,50.0,52.353.543,4.902.691,success
309,Marnixstraat 77 D                       , 1015 VD ,130.0,4,5000.0,38.46153846153846,52.382.095,4.881.634,doubt
310,Admiralengracht 113 A                       , 1057 ET ,114.0,3,4500.0,39.473684210526315,52.368.917,4.856.676,success
311,Daniël Stalpertstraat 28 A                       , 1072 XG ,91.0,4,3150.0,34.615384615384606,5.235.622,4.888.285,doubt
312,, 1035 HJ ,91.0,3,2500.0,27.47252747252747,489.973,doubt,
313,Herengracht                       , 1015 BB ,80.0,3,4200.0,52.5,52.365.048,4.898.317,success
314,Driekoningenstraat                       , 1016 AL ,93.0,3,4000.0,43.01075268817203,52.373.945,4.888.144,doubt
315,Amstelveenseweg 206 IV                       , 1075 XS ,55.0,3,2800.0,50.90909090909091,52.351.622,4.855.973,doubt
316,Haarlemmermeerstraat 68 2                       , 1058 KC ,75.0,5,2500.0,33.333333333333336,5.235.582,4.850.095,doubt
317,Valeriusstraat                       , 1071 MN ,57.0,3,2200.0,38.59649122807018,52.353.222,4.865.353,doubt
318,Overtoom                       , 1054 HK ,115.0,3,5500.0,47.82608695652174,52.361.024,4.868.881,doubt
319,Jisperveldstraat                       , 1024 AZ ,85.0,4,3000.0,35.29411764705883,52.398.777,4.951.183,doubt
320,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354.812,4.901.037,doubt
321,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382.417,4.885.611,doubt
322,, 1054 KC ,50.0,2,4000.0,80.0,489.973,doubt,
323,, 1054 KD ,50.0,2,3050.0,61.0,489.973,doubt,
324,Hemonystraat                       , 1074 BL ,75.0,2,3150.0,42.0,52.356.921,4.902.516,success
325,Van Baerlestraat                       , 1071 BD ,90.0,3,4200.0,46.66666666666666,52.354.889,4.880.967,success
326,Overschiestraat                       , 1062 HN ,65.0,3,2150.0,33.07692307692308,52.346.736,4.839.482,doubt
327,Overschiestraat                       , 1062 HN ,65.0,3,2150.0,33.07692307692308,52.346.736,4.839.482,doubt
328,Grote Ruwenberg                       , 1083 BS ,66.0,3,2350.0,35.60606060606061,52.325.415,48.842,success
329,Zaandijkstraat                       , 1013 VN ,50.0,2,3500.0,70.0,5.238.798,4.879.565,success
330,Ferdinand Bolstraat                       , 1072 LB ,65.0,2,2800.0,43.07692307692307,52.350.566,4.891.676,success
331,Wiborgeiland                       , 1014 ZC ,71.0,2,3150.0,44.36619718309859,52.393.456,487.726,doubt
332,Frans Halsstraat                       , 1072 BX ,50.0,2,3000.0,60.0,52.356.556,4.888.733,doubt
333,Nassaukade                       , 1054 AA ,153.0,5,4500.0,29.411764705882355,52.379.572,4.878.407,success
334,Gerard Douplein 7 2                       , 1073 XE ,35.0,2,2500.0,71.42857142857143,52.356.267,4.892.952,success
335,Amsteldijk 45 1ACHTER                       , 1074 HW ,48.0,3,3000.0,62.5,52.354.738,4.905.827,doubt
336,Amsteldijk 45 1 VOOR                       , 1074 HW ,40.0,2,2000.0,50.0,52.354.738,4.905.827,doubt
337,Emmastraat 40 II                       , 1075 HW ,110.0,3,3500.0,31.818181818181817,52.352.618,4.869.919,doubt
338,Nova Zemblastraat 49                       , 1013 RJ ,100.0,4,3000.0,30.0,52.389.645,4.883.781,doubt
339,Van Suchtelen van de Haarestraat                       , 1068 GV ,100.0,4,4450.0,44.5,52.357.359,4.800.954,doubt
340,Amstel 108 B                       , 1017 AD ,75.0,3,5500.0,73.33333333333333,5.236.696,4.897.082,doubt
341,Tweede Jan van der Heijdenstraat 26 2                       , 1073 VJ ,60.0,3,3000.0,50.0,52.355.145,4.899.908,doubt
342,Kloekhorststraat 163                       , 1104 ML ,73.0,3,3500.0,47.94520547945206,52.317.284,4.969.253,success
343,Koningineg                       , 1075 CV ,70.0,3,5500.0,78.57142857142857,failed,failed,failed
344,Westerdok                       , 1013 BH ,65.0,3,3500.0,53.84615384615386,52.385.518,4.890.923,success
345,Bilderdijkstraat 69 1A                       , 1053 KM ,32.0,2,2000.0,62.5,52.372.548,4.871.593,doubt
346,Deurloostraat 40 2                       , 1078 JC ,81.0,3,3000.0,37.03703703703704,52.346.432,4.892.328,doubt
347,Jacob van Lennepkade                       , 1053 NM ,68.0,3,3150.0,46.32352941176471,52.366.584,4.875.938,doubt
348,IJburglaan                       , 1087 CE ,120.0,3,4450.0,37.083333333333336,52.368.507,4.971.287,doubt
349,Fokke Simonszstraat 54 A                       , 1017 TJ ,42.0,2,2300.0,54.76190476190475,doubt,,
350,Beethovenstraat 73 A                       , 1077 HP ,70.0,3,3000.0,42.857142857142854,52.347.275,4.877.231,doubt
351,Kotterspad 32                       , 1081 KP ,95.0,2,3050.0,32.10526315789474,52.332.209,4.856.044,success
352,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354.812,4.901.037,doubt
353,Curaçaostraat                       , 1058 BT ,62.0,2,2050.0,33.064516129032256,489.973,doubt,
354,Hageland 132 K                       , 1066 SB ,40.0,2,2500.0,62.5,52.345.265,4.812.197,doubt
355,Tweede Kostverlorenkade                       , 1052 RH ,60.0,3,2500.0,41.66666666666666,5.236.509,4.860.831,success
356,De Kempenaerstraat                       , 1051 CN ,44.0,3,2300.0,52.27272727272727,52.381.762,4.869.285,doubt
357,Wijdesteeg                       , 1012 RN ,55.0,2,3000.0,54.54545454545455,52.371.607,4.889.978,success
358,Spuistraat                       , 1012 VN ,62.0,2,4000.0,64.51612903225806,5.237.056,4.889.144,success
359,Spuistraat                       , 1012 VN ,85.0,3,5500.0,64.70588235294117,5.237.056,4.889.144,success
360,Tielstraat                       , 1107 PZ ,52.0,2,2750.0,52.884615384615394,52.291.833,496.894,success
