,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
94,Krommeniestraat                       , 1013 XH ,51.0,2,2500.0,49.01960784313725,52.391242999999996,4.875186
95,Pietersbergweg 231                       , 1105 BM ,32.0,2,1850.0,57.8125,52.298977,4.9559940000000005
97,Singel                       , 1012 VG ,69.0,2,4450.0,64.4927536231884,52.375858,4.891292
98,Scherpenzeelstraat 75                       , 1107 HS ,80.0,4,2500.0,31.25,52.293867,4.978268
99,Singel 115                       , 1012 VH ,80.0,3,4200.0,52.5,52.375528,4.890916000000001
100,Gerard Douplein 4 1                       , 1072 VE ,32.0,2,2500.0,78.125,52.35595,4.892368
101,Erich Salomonstraat 655                       , 1087 KC ,85.0,3,2000.0,23.52941176470589,52.354309,5002371.0
102,Pieter Calandlaan                       , 1060 TV ,100.0,3,2000.0,20.0,52.352802000000004,4.803401999999999
104,Piet Gijzenbrugstraat                       , 1059 XG ,60.0,3,2500.0,41.66666666666666,52.350263,4.846845
105,Medemblikstraat 33 1+2                       , 1023 XN ,100.0,4,2500.0,25.0,52.393417,4.939021
106,Rapenburg 103 2                       , 1011 TW ,150.0,6,3650.0,24.33333333333333,52.370324,4.910563
107,Oudezijds Voorburgwal 134 1                       , 1012 GH ,41.0,2,2300.0,56.09756097560975,52.373244,4.897036
108,Rijswijkstraat                       , 1062 EP ,60.0,2,3500.0,58.33333333333334,52.350062,4.840298000000001
109,Oudezijds Voorburgwal                       , 1012 EH ,100.0,3,4500.0,45.0,52.372452,4.896855
110,George Gershwinlaan 167                       , 1082 MT ,97.0,2,2950.0,30.41237113402061,52.335851,4.872888
111,Hoogte Kadijk 54 2                       , 1018 BN ,51.0,3,2800.0,54.901960784313715,52.369735,4.913946
112,Zeilstraat 48 1                       , 1075 SJ ,55.0,2,3500.0,63.63636363636363,52.350938,4.853867
114,Gustav Mahlerlaan                       , 1082 MK ,42.0,1,2300.0,54.76190476190475,52.336678000000006,4.877193
115,Martin Vlaarkade                       , 1013 CS ,60.0,2,2000.0,33.333333333333336,52.388644,4.881382
116,Koerierstersplein                       , 1011 MR ,65.0,3,2150.0,33.07692307692308,52.369369,4.907604
117,Veerstraat                       , 1075 SZ ,60.0,2,2800.0,46.66666666666666,52.35139,4.853946
119,Lutmastraat 155 D                       , 1073 GW ,43.0,2,2500.0,58.139534883720934,52.351490999999996,4.900858
120,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
121,Brouwersgracht 248 K                       , 1013 HE ,60.0,2,2150.0,35.833333333333336,52.382417,4.885611
122,Andreasplein 89                       , 1058 GD ,145.0,4,4200.0,28.96551724137931,52.357232,4.846467
123,Jan Smitstraat                       , 1069 SZ ,95.0,3,3000.0,31.578947368421048,52.351232,4.800521
124,Tweede Anjeliersdwarsstraat                       , 1015 NT ,50.0,2,3500.0,70.0,52.377689000000004,4.881539
125,Staalstraat 11 D                       , 1011 JK ,54.0,2,2300.0,42.5925925925926,52.368238,4.897623
126,Holendrechtstraat                       , 1078 TT ,22.0,1,915.0,41.59090909090909,52.349028000000004,4.908976999999999
127,Mauritskade                       , 1093 RR ,50.0,2,2500.0,50.0,52.36339,4.922301
128,Prinsengracht 528 3                       , 1017 KJ ,80.0,2,4500.0,56.25,52.36334,4.886501
129,Overtoom                       , 1054 JD ,70.0,3,2500.0,35.714285714285715,52.361024,4.868881
130,Andries Copierstraat 38                       , 1061 SE ,104.0,3,3600.0,34.615384615384606,52.36703,4.836906
131,Korte Leidsedwarsstraat                       , 1017 PV ,55.0,2,2500.0,45.45454545454545,52.363282,4.884683
132,Veembroederhof 161                       , 1019 HD ,130.0,1,4200.0,32.30769230769231,52.3764,4.924331
134,Van Nijenrodeweg 509                       , 1082 HP ,36.0,2,1300.0,36.111111111111114,52.327508,4.874333999999999
135,Hoogoord                       , 1102 CB ,93.0,6,4350.0,46.774193548387096,52.313324,4.957086
136,Elisabeth Wolffstraat                       , 1053 TR ,70.0,2,2750.0,39.285714285714285,52.369781,4.867401
138,Termini 449                       , 1025 XM ,75.0,3,3500.0,46.66666666666666,52.401757,4.934012
139,Fritz Dietrich Kahlenbergstraat                       , 1087 MS ,90.0,3,3500.0,38.888888888888886,52.349884,5011086.0
140,Churchill-laan                       , 1078 EW ,141.0,3,9000.0,63.829787234042556,52.347366,4.890144
141,Geldersekade                       , 1011 EJ ,80.0,3,3000.0,37.5,52.374888,4.901322
142,Heer Halewijnstraat                       , 1055 SR ,53.0,3,1700.0,32.075471698113205,52.377753999999996,4.854435
143,Buiksloterweg 101                       , 1031 CJ ,56.0,1,2300.0,41.07142857142857,52.388363,4.915202
144,Funenpark 514                       , 1018 AK ,115.0,3,4500.0,39.130434782608695,52.36835,4.929804
145,Tweede Oosterparkstraat 3 HS                       , 1091 HT ,65.0,3,3500.0,53.84615384615386,52.355932,4.9122580000000005
146,Madurastraat 9 B                       , 1094 GC ,65.0,2,1700.0,26.153846153846153,52.364412,4.936261
147,Vrolikstraat 349 R                       , 1092 TB ,83.0,3,3500.0,42.16867469879518,52.356934,4.920026999999999
148,Tweede Jan van der Heijdenstraat                       , 1074 XR ,47.0,2,3000.0,63.829787234042556,52.355767,4.901695
150,Ten Katestraat                       , 1053 CG ,62.0,3,2800.0,45.161290322580655,52.366014,4.86771
151,Pieter Cornelisz. Hooftstraat 57 I                       , 1071 BN ,70.0,3,3150.0,45.0,52.360347,4.881598
154,Overtoom                       , 1054 HC ,82.0,3,4000.0,48.780487804878035,52.361024,4.868881
156,Sarphatipark 116 IV                       , 1073 ED ,75.0,3,2500.0,33.333333333333336,52.353771,4.897985
158,Overtoom                       , 1054 JD ,166.0,7,4650.0,28.01204819277109,52.361024,4.868881
